00000001 Logging: Session Logs Enabled
00000001 Logging: Application-Defined Items Enabled
00000001 Logging: Transaction Statistics Enabled
00000001 Logging: Transaction Timing Enabled
00000001 ooObjy Startup: [Wed Dec 04 19:33:58 2013]
 [process ID = 5220]
 [number of files = 12] [AMS usage = oocAMSPreferred]
 [install signal handler = oocTrue]
00000002 QA_MEMORY_LOG: Number of Threads: 1.
00000002 QA_MEMORY_LOG: Starting Memory Usage: 11.27344 MB
00000002 Connection Create: 
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 [auto-recover = oocTrue]
00000002 New Session Pool: SessionPoolName
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 [soft limit = 1][hard limit = 1][initial pages = 500][max pages = 500][large object memory limit = 4096000]
 [hot mode = false] [lock wait= 10][session wait = 0]
00000002 Initialize Thread: [thread ID = 7468]
00000002 Session Pool Session Create: [session name = Pool_SessionPoolName_1]
00000004 Autorecovery: [successful]
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
00000361 QA_MEMORY_LOG: Thread 0 Memory: 13.17188 MB. Count: 1000
00000372 QA_MEMORY_LOG: Thread 0 Memory: 13.36719 MB. Count: 2000
00000383 QA_MEMORY_LOG: Thread 0 Memory: 13.55469 MB. Count: 3000
00000429 QA_MEMORY_LOG: Thread 0 Memory: 13.74219 MB. Count: 4000
00000440 QA_MEMORY_LOG: Thread 0 Memory: 13.93750 MB. Count: 5000
00000451 QA_MEMORY_LOG: Thread 0 Memory: 14.12500 MB. Count: 6000
00000462 QA_MEMORY_LOG: Thread 0 Memory: 14.31250 MB. Count: 7000
00000588 QA_MEMORY_LOG: Thread 0 Memory: 14.58594 MB. Count: 8000
00000597 QA_MEMORY_LOG: Thread 0 Memory: 14.77344 MB. Count: 9000
00000603 QA_MEMORY_LOG: Thread 0 Memory: 14.96094 MB. Count: 10000
00000611 QA_MEMORY_LOG: Thread 0 Memory: 15.15625 MB. Count: 11000
00000619 QA_MEMORY_LOG: Thread 0 Memory: 15.34375 MB. Count: 12000
00000628 QA_MEMORY_LOG: Thread 0 Memory: 15.53906 MB. Count: 13000
00000636 QA_MEMORY_LOG: Thread 0 Memory: 15.72656 MB. Count: 14000
00000785 QA_MEMORY_LOG: Thread 0 Memory: 16.07422 MB. Count: 15000
00000795 QA_MEMORY_LOG: Thread 0 Memory: 16.26953 MB. Count: 16000
00000804 QA_MEMORY_LOG: Thread 0 Memory: 16.45703 MB. Count: 17000
00000812 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 18000
00000870 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 19000
00000881 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 20000
00000890 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 21000
00000919 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 22000
00000929 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 23000
