00000000 Logging: Session Logs Enabled
00000000 Logging: Application-Defined Items Enabled
00000000 Logging: Transaction Statistics Enabled
00000000 Logging: Transaction Timing Enabled
00000000 ooObjy Startup: [Wed Dec 04 19:32:47 2013]
 [process ID = 1104]
 [number of files = 12] [AMS usage = oocAMSPreferred]
 [install signal handler = oocTrue]
00000001 QA_MEMORY_LOG: Number of Threads: 1.
00000001 QA_MEMORY_LOG: Starting Memory Usage: 11.28125 MB
00000001 Connection Create: 
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 [auto-recover = oocTrue]
00000001 New Session Pool: SessionPoolName
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 Shared Cache: [initial page space = 4096000][max page space = 4096000][initial large objects = 0][max large objects = 500][max large object space = 4096000]
 [hot mode = false] [lock wait= 10][session wait = 0]
00000001 Initialize Thread: [thread ID = 6444]
00000002 Session Pool Session Create: [session name = Pool_SessionPoolName_1] (Shared Cache)
00000003 Autorecovery: [successful]
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
00000221 QA_MEMORY_LOG: Thread 0 Memory: 13.09375 MB. Count: 1000
00000232 QA_MEMORY_LOG: Thread 0 Memory: 13.29297 MB. Count: 2000
00000259 QA_MEMORY_LOG: Thread 0 Memory: 13.48047 MB. Count: 3000
00000269 QA_MEMORY_LOG: Thread 0 Memory: 13.66797 MB. Count: 4000
00000280 QA_MEMORY_LOG: Thread 0 Memory: 13.86328 MB. Count: 5000
00000288 QA_MEMORY_LOG: Thread 0 Memory: 14.05078 MB. Count: 6000
00000297 QA_MEMORY_LOG: Thread 0 Memory: 14.23828 MB. Count: 7000
00000365 QA_MEMORY_LOG: Thread 0 Memory: 14.51172 MB. Count: 8000
00000373 QA_MEMORY_LOG: Thread 0 Memory: 14.69922 MB. Count: 9000
00000381 QA_MEMORY_LOG: Thread 0 Memory: 14.88672 MB. Count: 10000
00000389 QA_MEMORY_LOG: Thread 0 Memory: 15.08203 MB. Count: 11000
00000396 QA_MEMORY_LOG: Thread 0 Memory: 15.26953 MB. Count: 12000
00000404 QA_MEMORY_LOG: Thread 0 Memory: 15.46484 MB. Count: 13000
00000412 QA_MEMORY_LOG: Thread 0 Memory: 15.65234 MB. Count: 14000
00000545 QA_MEMORY_LOG: Thread 0 Memory: 16.00000 MB. Count: 15000
00000553 QA_MEMORY_LOG: Thread 0 Memory: 16.19531 MB. Count: 16000
00000572 QA_MEMORY_LOG: Thread 0 Memory: 16.38281 MB. Count: 17000
00000580 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 18000
00000606 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 19000
00000614 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 20000
00000621 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 21000
